Request Allowed Wait Time Used(%),Car flexibility (param.),Req. flexibility (param.),reqWaitTime,reqDis,Requests Flexibility Used
8.1104956,1.1,1.9,673261,8301108,0.081104956
8.0636773,1.1,2,672439,8339111,0.080636773
9.3641672,1.1,2.1,778333,8311823,0.093641672
10.0389459,1.1,2.2,843464,8401918,0.100389459
11.2116041,1.1,2.3,935382,8342981,0.112116041
12.1057186,1.1,2.4,1020054,8426216,0.121057186
11.8648264,1.1,2.5,1001064,8437241,0.118648264
13.0053612,1.1,2.6,1084734,8340668,0.130053612
13.1941595,1.1,2.7,1109554,8409433,0.131941595
13.5301133,1.1,2.8,1141238,8434800,0.135301133
14.1486059,1.1,2.9,1186777,8387943,0.141486059
14.2725678,1.1,3,1212830,8497630,0.142725678
0.1657143,1.2,1.1,14420,8701724,0.001657143
0.7690764,1.2,1.2,68875,8955547,0.007690764
1.3236367,1.2,1.3,121846,9205396,0.013236367
2.1824885,1.2,1.4,200876,9203989,0.021824885
3.0418641,1.2,1.5,285885,9398349,0.030418641
3.8960912,1.2,1.6,367172,9424112,0.038960912
4.284315,1.2,1.7,407691,9515897,0.04284315
5.1016606,1.2,1.8,486253,9531269,0.051016606
5.5620925,1.2,1.9,536761,9650343,0.055620925
6.1378488,1.2,2,589749,9608399,0.061378488
6.7527998,1.2,2.1,647915,9594761,0.067527998
7.7859763,1.2,2.2,750450,9638483,0.077859763
8.4756708,1.2,2.3,821610,9693746,0.084756708
8.3464421,1.2,2.4,803682,9629037,0.083464421
9.0212868,1.2,2.5,879824,9752755,0.090212868
9.4322768,1.2,2.6,922340,9778551,0.094322768
9.846128,1.2,2.7,951281,9661473,0.09846128
10.3391189,1.2,2.8,999363,9665843,0.103391189
10.4126339,1.2,2.9,1016602,9763159,0.104126339
10.223786,1.2,3,1004808,9828140,0.10223786
0.1336661,1.3,1.1,12847,9611263,0.001336661
0.5989033,1.3,1.2,58760,9811266,0.005989033
1.1552203,1.3,1.3,115053,9959399,0.011552203
2.0779312,1.3,1.4,210274,10119392,0.020779312
2.3823342,1.3,1.5,244770,10274377,0.023823342
3.0759617,1.3,1.6,318094,10341286,0.030759617
3.7535654,1.3,1.7,389491,10376561,0.037535654
4.1440363,1.3,1.8,431672,10416704,0.041440363
4.476406,1.3,1.9,466359,10418157,0.04476406
5.1183736,1.3,2,533543,10424073,0.051183736
5.6376544,1.3,2.1,590165,10468272,0.056376544
6.5807763,1.3,2.2,687844,10452323,0.065807763
6.7249689,1.3,2.3,704068,10469461,0.067249689
6.94043,1.3,2.4,733063,10562213,0.0694043
7.7092673,1.3,2.5,811683,10528666,0.077092673
7.9220895,1.3,2.6,832604,10509904,0.079220895
8.0639603,1.3,2.7,848200,10518405,0.080639603
8.4709473,1.3,2.8,899321,10616534,0.084709473
8.2542068,1.3,2.9,875624,10608215,0.082542068
8.9097705,1.3,3,934864,10492571,0.089097705
0.1065525,1.4,1.1,10902,10231576,0.001065525
0.5138975,1.4,1.2,53396,10390398,0.005138975
1.0264863,1.4,1.3,108903,10609299,0.010264863
1.5602914,1.4,1.4,166817,10691400,0.015602914
2.2895597,1.4,1.5,247750,10820858,0.022895597
2.6804002,1.4,1.6,291641,10880502,0.026804002
3.3028195,1.4,1.7,360649,10919428,0.033028195
3.6691507,1.4,1.8,401025,10929641,0.036691507
4.2821927,1.4,1.9,469749,10969824,0.042821927
4.39307,1.4,2,481992,10971644,0.0439307
4.8960571,1.4,2.1,536236,10952405,0.048960571
5.3924603,1.4,2.2,593570,11007406,0.053924603
6.1318771,1.4,2.3,678376,11063105,0.061318771
6.0394124,1.4,2.4,669673,11088380,0.060394124
6.3966074,1.4,2.5,704701,11016793,0.063966074
6.626932,1.4,2.6,736710,11116909,0.06626932
6.6310775,1.4,2.7,737702,11124919,0.066310775
6.8636005,1.4,2.8,759713,11068724,0.068636005
6.8305938,1.4,2.9,759719,11122298,0.068305938
7.146492,1.4,3,792208,11085271,0.07146492
0.1017215,1.5,1.1,10774,10591661,0.001017215
0.4393377,1.5,1.2,47566,10826751,0.004393377
0.8976293,1.5,1.3,98028,10920766,0.008976293
1.44048,1.5,1.4,159014,11038959,0.0144048
1.9263835,1.5,1.5,214886,11154892,0.019263835
2.4389416,1.5,1.6,275118,11280221,0.024389416
2.648757,1.5,1.7,299335,11300961,0.02648757
3.3832204,1.5,1.8,384607,11368074,0.033832204
3.5691008,1.5,1.9,405171,11352187,0.035691008
3.7374306,1.5,2,426427,11409630,0.037374306
4.1384679,1.5,2.1,470496,11368845,0.041384679
4.9575175,1.5,2.2,569644,11490509,0.049575175
5.2427594,1.5,2.3,598930,11423946,0.052427594
5.4536881,1.5,2.4,622104,11407033,0.054536881
5.4791959,1.5,2.5,628459,11469913,0.054791959
5.8054388,1.5,2.6,661524,11394901,0.058054388
5.7794989,1.5,2.7,659279,11407200,0.057794989
5.7260014,1.5,2.8,655422,11446417,0.057260014
6.4731326,1.5,2.9,739056,11417285,0.064731326
6.6193576,1.5,3,758202,11454314,0.066193576
0.3816743,1.1,1.1,26335,6899862,0.003816743
1.1980457,1.1,1.2,85004,7095222,0.011980457
2.3410866,1.1,1.3,171233,7314253,0.023410866
3.6816972,1.1,1.4,275947,7495103,0.036816972
4.5415191,1.1,1.5,347666,7655280,0.045415191
5.9565226,1.1,1.6,460381,7729023,0.059565226
7.0321837,1.1,1.7,547578,7786742,0.070321837
7.995739,1.1,1.8,629754,7876120,0.07995739
9.0890889,1.1,1.9,723603,7961227,0.090890889
9.5710224,1.1,2,772645,8072753,0.095710224
11.2634217,1.1,2.1,895399,7949618,0.112634217
12.5431488,1.1,2.2,1003552,8000798,0.125431488
13.0671682,1.1,2.3,1047111,8013297,0.130671682
14.2357514,1.1,2.4,1141212,8016521,0.142357514
13.8545885,1.1,2.5,1122537,8102276,0.138545885
15.3279776,1.1,2.6,1232872,8043279,0.153279776
15.7354331,1.1,2.7,1276754,8113879,0.157354331
15.509923,1.1,2.8,1271367,8197120,0.15509923
17.0336628,1.1,2.9,1376059,8078468,0.170336628
17.6631051,1.1,3,1427624,8082520,0.176631051
0.1967384,1.2,1.1,16257,8263256,0.001967384
0.852216,1.2,1.2,72304,8484234,0.00852216
1.525257,1.2,1.3,134020,8786716,0.01525257
2.332652,1.2,1.4,207598,8899656,0.02332652
3.2794431,1.2,1.5,293611,8953075,0.032794431
4.2245435,1.2,1.6,380005,8995173,0.042245435
4.7198231,1.2,1.7,430748,9126359,0.047198231
5.5784164,1.2,1.8,513925,9212740,0.055784164
6.1969836,1.2,1.9,569595,9191488,0.061969836
6.9025742,1.2,2,642228,9304181,0.069025742
7.8641143,1.2,2.1,730950,9294753,0.078641143
8.9571679,1.2,2.2,831572,9283872,0.089571679
9.4455028,1.2,2.3,881671,9334294,0.094455028
10.0019532,1.2,2.4,935048,9348654,0.100019532
10.2475691,1.2,2.5,958441,9352862,0.102475691
11.242775,1.2,2.6,1050448,9343316,0.11242775
11.2189045,1.2,2.7,1050134,9360397,0.112189045
11.718774,1.2,2.8,1094584,9340431,0.11718774
12.0768538,1.2,2.9,1122588,9295368,0.120768538
12.3384735,1.2,3,1155482,9364870,0.123384735
0.1371028,1.3,1.1,12482,9104116,0.001371028
0.6382783,1.3,1.2,60232,9436636,0.006382783
1.2168487,1.3,1.3,117358,9644420,0.012168487
2.1599074,1.3,1.4,209226,9686804,0.021599074
2.7378937,1.3,1.5,268899,9821382,0.027378937
3.4356047,1.3,1.6,339059,9868976,0.034356047
4.1762057,1.3,1.7,416952,9983991,0.041762057
5.1408098,1.3,1.8,513890,9996285,0.051408098
5.4449787,1.3,1.9,544891,10007220,0.054449787
5.9510849,1.3,2,599217,10069038,0.059510849
6.4987304,1.3,2.1,653801,10060442,0.064987304
7.6472299,1.3,2.2,770032,10069424,0.076472299
7.6942604,1.3,2.3,778372,10116268,0.076942604
8.5418163,1.3,2.4,866420,10143276,0.085418163
8.8061208,1.3,2.5,889877,10105210,0.088061208
8.7556986,1.3,2.6,886451,10124275,0.087556986
9.263738,1.3,2.7,943834,10188479,0.09263738
9.7720556,1.3,2.8,992294,10154404,0.097720556
9.4733183,1.3,2.9,964114,10177152,0.094733183
9.9107939,1.3,3,1002344,10113660,0.099107939
