 Car allowed wait time used(%),Car flexibility(param.),Request Flexibility (param.),CarWaitTime,carDis, Car delay allowance used(%)
21.9170695,1.4,1.4,3293544,15027301,0.219170695
21.5088187,1.4,1.5,3307972,15379608,0.215088187
21.7848531,1.4,1.6,3367200,15456611,0.217848531
21.3659651,1.4,1.7,3346518,15662845,0.213659651
21.1304511,1.4,1.8,3310826,15668506,0.211304511
21.2293666,1.4,1.9,3367020,15860200,0.212293666
21.1847115,1.4,2,3360556,15863119,0.211847115
21.098951,1.4,2.1,3346247,15859779,0.21098951
21.0163749,1.4,2.2,3367827,16024776,0.210163749
20.7792571,1.4,2.3,3375198,16243112,0.207792571
21.0459862,1.4,2.4,3411386,16209200,0.210459862
20.5539075,1.4,2.5,3333198,16216858,0.205539075
20.6538613,1.4,2.6,3367104,16302540,0.206538613
20.8148808,1.4,2.7,3390793,16290235,0.208148808
20.6099824,1.4,2.8,3373735,16369422,0.206099824
20.7760208,1.4,2.9,3400997,16369819,0.207760208
20.5318509,1.4,3,3352270,16327169,0.205318509
28.4591763,1.5,1.1,4192640,14732120,0.284591763
27.8525557,1.5,1.2,4166678,14959769,0.278525557
27.6914193,1.5,1.3,4205927,15188557,0.276914193
27.6206601,1.5,1.4,4279315,15493167,0.276206601
27.3497085,1.5,1.5,4296567,15709736,0.273497085
27.3956916,1.5,1.6,4356124,15900763,0.273956916
27.2844944,1.5,1.7,4361499,15985266,0.272844944
27.0768277,1.5,1.8,4367058,16128396,0.270768277
26.521267,1.5,1.9,4293573,16189170,0.26521267
26.7979138,1.5,2,4325220,16140137,0.267979138
26.5852957,1.5,2.1,4329350,16284754,0.265852957
26.3551665,1.5,2.2,4336059,16452406,0.263551665
26.3938105,1.5,2.3,4357829,16510799,0.263938105
26.6629034,1.5,2.4,4422427,16586442,0.266629034
26.2232227,1.5,2.5,4367553,16655287,0.262232227
26.17959,1.5,2.6,4352599,16625925,0.2617959
26.3852901,1.5,2.7,4363632,16538124,0.263852901
26.113275,1.5,2.8,4316434,16529654,0.26113275
26.0386777,1.5,2.9,4335964,16652013,0.260386777
26.0860995,1.5,3,4323441,16573735,0.260860995
5.0864159,1.1,1.1,556442,10939766,0.050864159
4.9214158,1.1,1.2,556902,11315890,0.049214158
4.7895868,1.1,1.3,554838,11584256,0.047895868
4.5686876,1.1,1.4,546765,11967660,0.045686876
4.5244893,1.1,1.5,549961,12155206,0.045244893
4.4500199,1.1,1.6,555777,12489315,0.044500199
4.322621,1.1,1.7,546572,12644458,0.04322621
4.3375854,1.1,1.8,554131,12775103,0.043375854
4.3038254,1.1,1.9,561351,13043071,0.043038254
4.2584681,1.1,2,557247,13085621,0.042584681
4.1509385,1.1,2.1,547056,13179092,0.041509385
4.0606864,1.1,2.2,539562,13287458,0.040606864
4.0528381,1.1,2.3,544232,13428417,0.040528381
4.0177572,1.1,2.4,539506,13428039,0.040177572
4.0999281,1.1,2.5,551494,13451309,0.040999281
3.9919248,1.1,2.6,543680,13619495,0.039919248
3.964433,1.1,2.7,538500,13583279,0.03964433
4.0494522,1.1,2.8,556368,13739340,0.040494522
3.914409,1.1,2.9,536411,13703499,0.03914409
3.8793278,1.1,3,531154,13691908,0.038793278
10.6827289,1.2,1.1,1331692,12465841,0.106827289
10.5651781,1.2,1.2,1349294,12771143,0.105651781
10.3541519,1.2,1.3,1354777,13084384,0.103541519
10.2814969,1.2,1.4,1374328,13367003,0.102814969
10.1604689,1.2,1.5,1376152,13544178,0.101604689
9.9967185,1.2,1.6,1379388,13798408,0.099967185
9.9130278,1.2,1.7,1382181,13943076,0.099130278
9.8513222,1.2,1.8,1389323,14102909,0.098513222
9.7500463,1.2,1.9,1378557,14138979,0.097500463
9.5714629,1.2,2,1378437,14401529,0.095714629
9.4612176,1.2,2.1,1367368,14452347,0.094612176
9.4310476,1.2,2.2,1368291,14508367,0.094310476
9.357931,1.2,2.3,1370979,14650450,0.09357931
9.3730643,1.2,2.4,1371242,14629602,0.093730643
9.2222305,1.2,2.5,1366076,14812859,0.092222305
9.2996459,1.2,2.6,1375908,14795273,0.092996459
9.4253388,1.2,2.7,1400247,14856198,0.094253388
9.2728605,1.2,2.8,1375970,14838679,0.092728605
9.1026333,1.2,2.9,1352126,14854229,0.091026333
9.1380797,1.2,3,1361773,14902179,0.091380797
16.7162416,1.3,1.1,2219058,13274862,0.167162416
16.2961003,1.3,1.2,2237289,13728984,0.162961003
16.1907861,1.3,1.3,2274418,14047607,0.161907861
15.8921869,1.3,1.4,2277779,14332697,0.158921869
15.735289,1.3,1.5,2274773,14456506,0.15735289
