Car flexibility (param.),Worst case CPU time(s),Max. number of car/s
1.5,0.062599409,426
1.5,0.059438866,428
1.5,0.067589807,432
1.5,0.066792293,425
1.5,0.086740413,421
1.5,0.067344073,413
1.5,0.074301951,424
1.5,0.09504983,416
1.5,0.065258858,426
1.5,0.055394513,407
1.5,0.06425186,419
1.5,0.076002844,431
1.5,0.065401615,410
1.5,0.071278711,406
1.1,0.048237417,305
1.1,0.04769494,290
1.1,0.067673216,299
1.1,0.041219228,280
1.1,0.054100718,278
1.1,0.048577146,273
1.1,0.044656944,278
1.1,0.042404592,275
1.1,0.042673424,277
1.1,0.038931908,263
1.1,0.040091929,274
1.1,0.040266445,270
1.1,0.036563105,266
1.1,0.035438373,259
1.1,0.036863697,255
1.1,0.036497982,268
1.1,0.038661472,264
1.1,0.033928036,255
1.1,0.035564448,260
1.1,0.037529041,261
1.2,0.059943487,328
1.2,0.062044421,333
1.2,0.057570193,322
1.2,0.055769531,324
1.2,0.054575505,325
1.2,0.055988638,312
1.2,0.053213058,314
1.2,0.049503623,305
1.2,0.047712905,296
1.2,0.048969487,300
1.2,0.04682717,293
1.2,0.047756534,294
1.2,0.047555071,292
1.2,0.04601907,291
1.2,0.04621508,303
1.2,0.047225607,297
1.2,0.045582458,293
1.2,0.047828715,292
1.2,0.04925853,292
1.2,0.0457512,284
1.3,0.074325048,374
1.3,0.067166669,358
1.3,0.071957528,360
1.3,0.067498699,347
1.3,0.068261567,342
1.3,0.06547155,336
1.3,0.065185395,344
1.3,0.069269206,332
1.3,0.064651901,338
1.3,0.058099837,332
1.3,0.061109924,330
1.3,0.063953194,327
1.3,0.063218557,337
1.3,0.060159387,343
1.3,0.057873993,327
1.3,0.056512508,328
1.3,0.057286925,344
1.3,0.05766483,328
1.3,0.056845501,327
1.3,0.057185551,321
1.4,0.088784885,401
1.4,0.091065788,405
1.4,0.085460091,395
1.4,0.104804461,383
1.4,0.080616299,388
1.4,0.081029172,378
1.4,0.079041802,378
1.4,0.074184858,372
1.4,0.074605429,375
1.4,0.073115624,377
1.4,0.076633541,375
1.4,0.076091706,384
1.4,0.075111334,376
1.4,0.071517388,371
1.4,0.076743576,369
1.4,0.069501146,377
1.4,0.073063013,371
1.4,0.072565769,374
1.4,0.071171884,375
1.4,0.071813488,379
1.5,0.110537517,453
1.5,0.105049554,436
1.5,0.098842674,426
1.5,0.096789861,437
1.5,0.097408368,425
1.5,0.094192005,439
1.5,0.092105187,426
1.5,0.094507675,421
1.5,0.093447103,414
1.5,0.100448931,422
1.5,0.089292073,420
1.5,0.090897688,421
1.5,0.090465888,409
1.5,0.087459651,414
1.5,0.086667591,412
1.5,0.089811452,420
1.5,0.082272922,410
1.5,0.086402929,414
1.5,0.089194228,426
1.5,0.081059648,418
1.1,0.050950441,305
1.1,0.053936788,297
1.1,0.050285738,293
1.1,0.047114288,285
1.1,0.049715031,288
1.1,0.043564292,275
1.1,0.042411008,271
1.1,0.03804874,264
1.1,0.037843106,262
1.1,0.037557592,271
1.1,0.042298727,268
1.1,0.042561785,272
1.1,0.036178143,257
1.1,0.033956267,258
1.1,0.038039437,264
1.1,0.037317953,258
1.1,0.037731788,261
1.1,0.036051426,261
1.1,0.037769321,261
1.1,0.047907953,256
1.2,0.063633675,337
1.2,0.05850084,329
1.2,0.061408912,329
1.2,0.052927865,312
1.2,0.052534562,312
1.2,0.05526138,310
1.2,0.056139095,306
1.2,0.05498549,319
1.2,0.057933983,307
1.2,0.050447102,302
1.2,0.048357397,300
1.2,0.045782318,299
1.2,0.046807922,287
1.2,0.04945454,293
1.2,0.045804453,301
