day,reqWaitTime,reqDis,CarWaitTime,carDis,Rides,NumCar,NumReq,C:R ratio,carFlex,ReqFlex,NumFeasible,totalCPUtime,tranferTimes
2,622617,8855942,2770249,13213882,22594,15063,7531,2,1.4,2.6,6433,84.80265823084756,823
2,670839,8869436,2785244,13247239,22594,15063,7531,2,1.4,2.7,6452,82.26323100380523,843
2,650258,8882719,2778665,13175942,22594,15063,7531,2,1.4,2.8,6442,86.99887655084058,817
2,655094,8867583,2815415,13241384,22594,15063,7531,2,1.4,2.9,6477,83.63052573697951,826
2,711484,8892279,2831286,13282930,22594,15063,7531,2,1.4,3.0,6490,86.48513402788922,876
2,6412,8411364,3404106,11636157,22594,15063,7531,2,1.5,1.1,6047,135.5345208787685,234
2,40204,8646885,3492592,12050648,22594,15063,7531,2,1.5,1.2,6182,133.1672662459123,335
2,90951,8800652,3489268,12219130,22594,15063,7531,2,1.5,1.3,6217,129.0412869171314,381
2,146211,8904896,3575366,12550416,22594,15063,7531,2,1.5,1.4,6302,117.5603627758901,487
2,195908,8974008,3581396,12597957,22594,15063,7531,2,1.5,1.5,6347,118.10265476621953,507
2,246567,9056703,3640776,12906691,22594,15063,7531,2,1.5,1.6,6393,117.24325401175429,606
2,276683,9044180,3602748,12959203,22594,15063,7531,2,1.5,1.7,6387,113.89788482306903,607
2,311628,9085328,3550302,13022183,22594,15063,7531,2,1.5,1.8,6445,112.95172793668644,668
2,388060,9081091,3621878,13155397,22594,15063,7531,2,1.5,1.9,6448,111.23322958584686,706
2,376836,9150374,3665469,13245322,22594,15063,7531,2,1.5,2.0,6505,113.61237090121722,728
2,424460,9173811,3647057,13313259,22594,15063,7531,2,1.5,2.1,6529,106.55862948184222,786
2,507430,9166796,3666088,13435744,22594,15063,7531,2,1.5,2.2,6576,109.7113274599742,846
2,510106,9163804,3672454,13457344,22594,15063,7531,2,1.5,2.3,6582,107.68513171817722,826
2,558514,9229386,3699738,13498089,22594,15063,7531,2,1.5,2.4,6608,104.45994560470717,858
2,536236,9214234,3683283,13553937,22594,15063,7531,2,1.5,2.5,6640,115.52552141590058,846
2,584184,9238481,3649328,13565922,22594,15063,7531,2,1.5,2.6,6632,103.60129167774176,878
2,607320,9228103,3632230,13568888,22594,15063,7531,2,1.5,2.7,6634,106.93128898943905,854
2,614890,9188386,3700019,13537315,22594,15063,7531,2,1.5,2.8,6620,107.19720125783351,885
2,592841,9216273,3611921,13540429,22594,15063,7531,2,1.5,2.9,6666,111.37614566476987,870
2,639275,9221298,3634211,13612983,22594,15063,7531,2,1.5,3.0,6659,112.06193278154569,897
3,25263,7269975,594934,11407471,29589,19726,9863,2,1.1,1.1,6096,126.67788575978497,176
3,90699,7567357,582370,11729668,29589,19726,9863,2,1.1,1.2,6284,133.22656427944966,253
3,165536,7771170,588007,12023426,29589,19726,9863,2,1.1,1.3,6424,123.8713727701836,261
3,276642,7902475,586271,12451850,29589,19726,9863,2,1.1,1.4,6541,117.57055915175499,362
3,353315,8095113,585850,12617300,29589,19726,9863,2,1.1,1.5,6659,115.48293524993039,389
3,429896,8161682,584765,12780265,29589,19726,9863,2,1.1,1.6,6708,109.88026476443702,429
3,512759,8208669,567014,12861545,29589,19726,9863,2,1.1,1.7,6782,107.41428037980961,435
3,548123,8270261,591867,13041331,29589,19726,9863,2,1.1,1.8,6827,103.4809822063686,477
3,673261,8301108,589870,13270221,29589,19726,9863,2,1.1,1.9,6875,103.23984131842417,541
3,672439,8339111,585528,13282157,29589,19726,9863,2,1.1,2.0,6948,100.71161008679769,523
3,778333,8311823,566975,13247465,29589,19726,9863,2,1.1,2.1,6925,95.2398012181527,555
3,843464,8401918,588399,13564619,29589,19726,9863,2,1.1,2.2,7023,94.19494281060179,617
3,935382,8342981,578936,13637968,29589,19726,9863,2,1.1,2.3,7020,98.0458580270888,709
3,1020054,8426216,579404,13785494,29589,19726,9863,2,1.1,2.4,7052,88.69651249557319,721
3,1001064,8437241,585763,13753936,29589,19726,9863,2,1.1,2.5,7052,91.8037534494133,716
3,1084734,8340668,562787,13721039,29589,19726,9863,2,1.1,2.6,7059,85.83513303345353,745
3,1109554,8409433,572670,13621926,29589,19726,9863,2,1.1,2.7,7086,91.56065278108417,706
3,1141238,8434800,563496,13782617,29589,19726,9863,2,1.1,2.8,7164,92.20651927731979,731
3,1186777,8387943,581706,13992340,29589,19726,9863,2,1.1,2.9,7106,102.2205178003569,797
3,1212830,8497630,568090,13907967,29589,19726,9863,2,1.1,3.0,7146,87.83368332849795,762
3,14420,8701724,1417428,12874945,29589,19726,9863,2,1.2,1.1,7102,154.91461144764025,205
3,68875,8955547,1419122,13214719,29589,19726,9863,2,1.2,1.2,7270,156.74789377342904,259
3,121846,9205396,1429157,13447901,29589,19726,9863,2,1.2,1.3,7379,140.14066565166877,291
3,200876,9203989,1394603,13657133,29589,19726,9863,2,1.2,1.4,7386,146.2536460769311,383
3,285885,9398349,1420823,13801203,29589,19726,9863,2,1.2,1.5,7496,143.64041350116622,443
3,367172,9424112,1430600,14152708,29589,19726,9863,2,1.2,1.6,7558,127.93979826674467,528
3,407691,9515897,1452394,14255989,29589,19726,9863,2,1.2,1.7,7627,132.72036606092342,548
3,486253,9531269,1454084,14434316,29589,19726,9863,2,1.2,1.8,7664,130.90649964423528,592
3,536761,9650343,1429518,14505540,29589,19726,9863,2,1.2,1.9,7742,119.73457535096713,603
3,589749,9608399,1434600,14605154,29589,19726,9863,2,1.2,2.0,7741,112.55189391972363,644
3,647915,9594761,1443629,14661841,29589,19726,9863,2,1.2,2.1,7764,118.09891549617623,676
3,750450,9638483,1442435,14813262,29589,19726,9863,2,1.2,2.2,7811,123.83114065051814,776
3,821610,9693746,1435764,14961724,29589,19726,9863,2,1.2,2.3,7884,121.20533487578177,825
3,803682,9629037,1429772,14897267,29589,19726,9863,2,1.2,2.4,7864,125.08823984196806,776
3,879824,9752755,1454851,15104197,29589,19726,9863,2,1.2,2.5,7946,120.18785821568599,826
3,922340,9778551,1445376,15174667,29589,19726,9863,2,1.2,2.6,7979,116.95736186418344,895
3,951281,9661473,1443721,15126885,29589,19726,9863,2,1.2,2.7,7901,114.23944159895564,848
3,999363,9665843,1434990,15150002,29589,19726,9863,2,1.2,2.8,7947,116.62535151897191,880
3,1016602,9763159,1414764,15180214,29589,19726,9863,2,1.2,2.9,7981,115.18770390986265,901
3,1004808,9828140,1435135,15387438,29589,19726,9863,2,1.2,3.0,8021,111.04619069901582,904
3,12847,9611263,2311530,13730098,29589,19726,9863,2,1.3,1.1,7654,193.98699243484225,257
3,58760,9811266,2338723,14037270,29589,19726,9863,2,1.3,1.2,7795,198.2497236289164,329
3,115053,9959399,2360228,14328576,29589,19726,9863,2,1.3,1.3,7892,184.15719883256224,394
3,210274,10119392,2349913,14551182,29589,19726,9863,2,1.3,1.4,7955,168.593066631277,508
3,244770,10274377,2404710,14888953,29589,19726,9863,2,1.3,1.5,8050,175.12208992342403,542
3,318094,10341286,2412947,15103957,29589,19726,9863,2,1.3,1.6,8111,182.1472254141836,627
3,389491,10376561,2405072,15154100,29589,19726,9863,2,1.3,1.7,8138,158.55200876686285,652
3,431672,10416704,2403137,15256567,29589,19726,9863,2,1.3,1.8,8184,155.93651806469552,669
3,466359,10418157,2390433,15230266,29589,19726,9863,2,1.3,1.9,8207,159.30048094655922,675
3,533543,10424073,2388677,15431658,29589,19726,9863,2,1.3,2.0,8220,159.2315325424688,740
3,590165,10468272,2397918,15567307,29589,19726,9863,2,1.3,2.1,8275,156.67829991538747,793
3,687844,10452323,2405209,15627677,29589,19726,9863,2,1.3,2.2,8325,156.37116841914212,849
3,704068,10469461,2416496,15695810,29589,19726,9863,2,1.3,2.3,8366,147.06465863772883,856
3,733063,10562213,2404026,15751684,29589,19726,9863,2,1.3,2.4,8386,141.42147500995088,906
3,811683,10528666,2445240,15901078,29589,19726,9863,2,1.3,2.5,8408,144.70165623743378,955
3,832604,10509904,2382590,15801493,29589,19726,9863,2,1.3,2.6,8373,150.5069052664112,946
3,848200,10518405,2400359,15841531,29589,19726,9863,2,1.3,2.7,8409,140.05973881566024,937
3,899321,10616534,2411557,15999389,29589,19726,9863,2,1.3,2.8,8443,140.56345338402025,1018
3,875624,10608215,2395913,15961508,29589,19726,9863,2,1.3,2.9,8452,135.13737710872192,971
